HOTEL FRONT-OFFICE SOLUTION;;;;;;;;;;;;;
HISTORICO POYECTADO;;;;;;;;;;;;;
;;;;;;;;;;;;;
GRUPO SUME S.A.S;;;;;;;;;;;;;
900086484;;;;;;;;;;;;;
SM GRAND HOTEL;;;;;;;;;;;;;
Periodo: ;;;Habitaciones:;49;;;;;;;;;
;;;;;;;ACUMULADOS;;;;;;
FECHA;NUM. NOCHES;NRO.PAX;TARIFA. PROM.;REVENUE;% OCUPACION;REVPAR;NUM. NOCHES;NRO.PAX;TARIFA. PROM.;REVENUE;% OCUPACION;REVPAR;NUM. DIAS
2024-09-01;2;6;257500,00;515000,00;4,08%;10510,20;2;6;257500,00;515000,00;4,08%;17166,67;1
2024-09-02;12;22;227658,33;2731900,00;24,49%;55753,06;14;28;231921,43;3246900,00;14,29%;54115,00;2
2024-09-03;22;33;209155,68;4601425,00;44,90%;93906,63;36;61;218009,03;7848325,00;24,49%;87203,61;3
2024-09-04;26;33;181465,38;4718100,00;53,06%;96287,76;62;94;202684,27;12566425,00;31,63%;104720,21;4
2024-09-05;15;19;366435,87;5496538,00;30,61%;112174,24;77;113;234583,94;18062963,00;31,43%;120419,75;5
2024-09-06;4;6;259087,50;1036350,00;8,16%;21150,00;81;119;235793,99;19099313,00;27,55%;106107,29;6
2024-09-07;8;12;196725,38;1573803,00;16,33%;32118,43;89;131;232282,20;20673116,00;25,95%;98443,41;7
2024-09-08;2;2;190000,00;380000,00;4,08%;7755,10;91;133;231352,92;21053116,00;23,21%;87721,32;8
2024-09-09;5;6;227805,00;1139025,00;10,20%;23245,41;96;139;231168,14;22192141,00;21,77%;82193,11;9
2024-09-10;12;15;188394,42;2260733,00;24,49%;46137,41;108;154;226415,50;24452874,00;22,04%;81509,58;10
2024-09-11;22;29;182190,09;4008182,00;44,90%;81799,63;130;183;218931,20;28461056,00;24,12%;86245,62;11
2024-09-12;21;35;232889,86;4890687,00;42,86%;99809,94;151;218;220872,47;33351743,00;25,68%;92643,73;12
2024-09-13;10;14;213385,30;2133853,00;20,41%;43548,02;161;232;220407,43;35485596,00;25,27%;90988,71;13
2024-09-14;19;38;177696,74;3376238,00;38,78%;68902,82;180;270;215899,08;38861834,00;26,24%;92528,18;14
2024-09-15;5;11;212525,20;1062626,00;10,20%;21686,24;185;281;215807,89;39924460,00;25,17%;88721,02;15
2024-09-16;19;31;194039,89;3686758,00;38,78%;75239,96;204;312;213780,48;43611218,00;26,02%;90856,70;16
2024-09-17;23;37;210671,87;4845453,00;46,94%;98886,80;227;349;213465,51;48456671,00;27,25%;95013,08;17
2024-09-18;36;61;190484,64;6857447,00;73,47%;139947,90;263;410;210319,84;55314118,00;29,82%;102433,55;18
2024-09-19;40;59;221130,48;8845219,00;81,63%;180514,67;303;469;211746,99;64159337,00;32,55%;112560,24;19
2024-09-20;21;32;212487,33;4462234,00;42,86%;91066,00;324;501;211794,97;68621571,00;33,06%;114369,29;20
2024-09-21;49;95;192693,16;9441965,00;100,00%;192693,16;373;596;209285,62;78063536,00;36,25%;123910,37;21
2024-09-22;13;17;237975,92;3093687,00;26,53%;63136,47;386;613;210251,87;81157223,00;35,81%;122965,49;22
2024-09-23;32;46;256788,69;8217238,00;65,31%;167698,73;418;659;213814,50;89374461,00;37,09%;129528,20;23
2024-09-24;39;58;211257,00;8239023,00;79,59%;168143,33;457;717;213596,25;97613484,00;38,86%;135574,28;24
2024-09-25;46;64;225922,52;10392436,00;93,88%;212090,53;503;781;214723,50;108005920,00;41,06%;144007,89;25
2024-09-26;49;64;210445,57;10311833,00;100,00%;210445,57;552;845;214343,76;118317753,00;43,33%;151689,43;26
2024-09-27;20;33;244234,15;4884683,00;40,82%;99687,41;572;878;215388,87;123202436,00;43,24%;152101,77;27
2024-09-28;14;22;191215,50;2677017,00;28,57%;54633,00;586;900;214811,35;125879453,00;42,71%;149856,49;28
2024-09-29;9;14;290900,00;2618100,00;18,37%;53430,61;595;914;215962,27;128497553,00;41,87%;147698,34;29
2024-09-30;18;24;231788,56;4172194,00;36,73%;85146,82;613;938;216426,99;132669747,00;41,70%;147410,83;30
2024-10-01;37;50;201928,49;7471354,00;75,51%;152476,61;650;988;215601,69;140141101,00;42,79%;150689,36;31
2024-10-02;50;72;206351,26;10317563,00;102,04%;210562,51;700;1060;214940,95;150458664,00;44,64%;156727,78;32
2024-10-03;48;75;212498,44;10199925,00;97,96%;208161,73;748;1135;214784,21;160658589,00;46,26%;162281,40;33
2024-10-04;45;69;203692,04;9166142,00;91,84%;187064,12;793;1204;214154,77;169824731,00;47,60%;166494,83;34
2024-10-05;31;48;204116,87;6327623,00;63,27%;129135,16;824;1252;213777,13;176152354,00;48,05%;167764,15;35
2024-10-06;13;24;198705,62;2583173,00;26,53%;52717,82;837;1276;213543,04;178735527,00;47,45%;165495,86;36
2024-10-07;19;31;210125,26;3992380,00;38,78%;81477,14;856;1307;213467,18;182727907,00;47,21%;164619,74;37
2024-10-08;25;36;189011,12;4725278,00;51,02%;96434,24;881;1343;212773,20;187453185,00;47,31%;164432,62;38
2024-10-09;28;40;212206,79;5941790,00;57,14%;121261,02;909;1383;212755,75;193394975,00;47,57%;165294,85;39
2024-10-10;20;23;188851,80;3777036,00;40,82%;77082,37;929;1406;212241,13;197172011,00;47,40%;164310,01;40
2024-10-11;9;10;209001,11;1881010,00;18,37%;38387,96;938;1416;212210,04;199053021,00;46,69%;161831,72;41
2024-10-12;7;11;202395,00;1416765,00;14,29%;28913,57;945;1427;212137,34;200469786,00;45,92%;159103,00;42
2024-10-13;8;15;168639,38;1349115,00;16,33%;27532,96;953;1442;211772,19;201818901,00;45,23%;156448,76;43
2024-10-14;7;13;209252,14;1464765,00;14,29%;29893,16;960;1455;211753,82;203283666,00;44,53%;154002,78;44
2024-10-15;14;26;213357,14;2987000,00;28,57%;60959,18;974;1481;211776,86;206270666,00;44,17%;152793,09;45
2024-10-16;12;18;203079,00;2436948,00;24,49%;49733,63;986;1499;211671,01;208707614,00;43,74%;151237,40;46
2024-10-17;11;16;189266,64;2081933,00;22,45%;42488,43;997;1515;211423,82;210789547,00;43,29%;149496,13;47
2024-10-18;4;5;202756,25;811025,00;8,16%;16551,53;1001;1520;211389,18;211600572,00;42,56%;146944,84;48
2024-10-19;7;12;232061,71;1624432,00;14,29%;33151,67;1008;1532;211532,74;213225004,00;41,98%;145051,02;49
2024-10-20;4;8;165950,75;663803,00;8,16%;13547,00;1012;1540;211352,58;213888807,00;41,31%;142592,54;50
2024-10-21;13;19;216021,15;2808275,00;26,53%;57311,73;1025;1559;211411,79;216697082,00;41,02%;141632,08;51
2024-10-22;39;50;194773,10;7596151,00;79,59%;155023,49;1064;1609;210801,91;224293233,00;41,76%;143777,71;52
2024-10-23;43;55;208199,88;8952595,00;87,76%;182706,02;1107;1664;210700,84;233245828,00;42,63%;146695,49;53
2024-10-24;42;52;191733,64;8052813,00;85,71%;164343,12;1149;1716;210007,52;241298641,00;43,42%;148949,78;54
2024-10-25;25;35;177136,52;4428413,00;51,02%;90375,78;1174;1751;209307,54;245727054,00;43,56%;148925,49;55
2024-10-26;15;29;210185,33;3152780,00;30,61%;64342,45;1189;1780;209318,62;248879834,00;43,33%;148142,76;56
2024-10-27;10;18;236101,70;2361017,00;20,41%;48184,02;1199;1798;209541,99;251240851,00;42,93%;146924,47;57
2024-10-28;12;26;231099,33;2773192,00;24,49%;56595,76;1211;1824;209755,61;254014043,00;42,61%;145985,08;58
2024-10-29;13;23;175299,62;2278895,00;26,53%;46508,06;1224;1847;209389,66;256292938,00;42,34%;144798,27;59
2024-10-30;16;23;192590,25;3081444,00;32,65%;62886,61;1240;1870;209172,89;259374382,00;42,18%;144096,88;60
2024-10-31;13;23;165339,08;2149408,00;26,53%;43865,47;1253;1893;208718,11;261523790,00;41,92%;142909,17;61
2024-11-01;8;15;109222,75;873782,00;16,33%;17832,29;1261;1908;208086,89;262397572,00;41,51%;141073,96;62
2024-11-02;18;32;187144,17;3368595,00;36,73%;68746,84;1279;1940;207792,16;265766167,00;41,43%;140617,02;63
2024-11-03;3;4;117198,33;351595,00;6,12%;7175,41;1282;1944;207580,16;266117762,00;40,88%;138603,00;64
2024-11-04;16;29;205576,44;3289223,00;32,65%;67127,00;1298;1973;207555,46;269406985,00;40,75%;138157,43;65
2024-11-05;43;63;243247,67;10459650,00;87,76%;213462,24;1341;2036;208699,95;279866635,00;41,47%;141346,79;66
2024-11-06;47;67;228943,62;10760350,00;95,92%;219598,98;1388;2103;209385,44;290626985,00;42,28%;144590,54;67
2024-11-07;49;69;225527,55;11050850,00;100,00%;225527,55;1437;2172;209935,86;301677835,00;43,13%;147881,29;68
2024-11-08;49;73;212092,86;10392550,00;100,00%;212092,86;1486;2245;210006,99;312070385,00;43,95%;150758,64;69
2024-11-09;29;49;211147,14;6123267,00;59,18%;124964,63;1515;2294;210028,81;318193652,00;44,17%;151520,79;70
2024-11-10;6;11;260387,83;1562327,00;12,24%;31884,22;1521;2305;210227,47;319755979,00;43,72%;150120,18;71
2024-11-11;18;28;235472,22;4238500,00;36,73%;86500,00;1539;2333;210522,73;323994479,00;43,62%;149997,44;72
2024-11-12;37;44;285879,73;10577550,00;75,51%;215868,37;1576;2377;212291,90;334572029,00;44,06%;152772,62;73
2024-11-13;44;58;222692,61;9798475,00;89,80%;199968,88;1620;2435;212574,39;344370504,00;44,68%;155121,85;74
2024-11-14;35;40;221950,03;7768251,00;71,43%;158535,73;1655;2475;212772,66;352138755,00;45,03%;156506,11;75
2024-11-15;8;12;216531,25;1732250,00;16,33%;35352,04;1663;2487;212790,74;353871005,00;44,66%;155206,58;76
2024-11-16;11;20;1026605,73;11292663,00;22,45%;230462,51;1674;2507;218138,39;365163668,00;44,37%;158079,51;77
2024-11-17;40;67;171950,00;6878000,00;81,63%;140367,35;1714;2574;217060,48;372041668,00;44,85%;158992,17;78
2024-11-18;42;70;179286,90;7530050,00;85,71%;153674,49;1756;2644;216157,01;379571718,00;45,36%;160156,84;79
2024-11-19;14;16;171271,93;2397807,00;28,57%;48934,84;1770;2660;215801,99;381969525,00;45,15%;159153,97;80
2024-11-20;31;40;218597,61;6776526,00;63,27%;138296,45;1801;2700;215850,11;388746051,00;45,38%;159977,80;81
2024-11-21;39;68;216420,18;8440387,00;79,59%;172252,80;1840;2768;215862,19;397186438,00;45,79%;161457,90;82
2024-11-22;39;85;261224,85;10187769,00;79,59%;207913,65;1879;2853;216803,73;407374207,00;46,20%;163604,10;83
2024-11-23;42;80;213333,33;8960000,00;85,71%;182857,14;1921;2933;216727,85;416334207,00;46,67%;165211,99;84
2024-11-24;37;72;206162,16;7628000,00;75,51%;155673,47;1958;3005;216528,20;423962207,00;47,01%;166259,69;85
2024-11-25;32;50;188968,47;6046991,00;65,31%;123407,98;1990;3055;216085,02;430009198,00;47,22%;166670,23;86
2024-11-26;37;54;206509,68;7640858,00;75,51%;155935,88;2027;3109;215910,24;437650056,00;47,55%;167682,01;87
2024-11-27;33;50;190812,33;6296807,00;67,35%;128506,27;2060;3159;215508,19;443946863,00;47,77%;168161,69;88
2024-11-28;23;31;187185,61;4305269,00;46,94%;87862,63;2083;3190;215195,45;448252132,00;47,76%;167884,69;89
2024-11-29;24;37;232219,54;5573269,00;48,98%;113740,18;2107;3227;215389,37;453825401,00;47,78%;168083,48;90
2024-11-30;12;22;205287,83;2463454,00;24,49%;50274,57;2119;3249;215332,16;456288855,00;47,52%;167138,77;91
2024-12-01;15;27;223333,33;3350000,00;30,61%;68367,35;2134;3276;215388,40;459638855,00;47,34%;166535,82;92
2024-12-02;36;54;244565,14;8804345,00;73,47%;179680,51;2170;3330;215872,44;468443200,00;47,62%;167900,79;93
2024-12-03;35;51;166842,26;5839479,00;71,43%;119173,04;2205;3381;215094,19;474282679,00;47,87%;168185,35;94
2024-12-04;25;37;195636,36;4890909,00;51,02%;99814,47;2230;3418;214876,05;479173588,00;47,91%;168131,08;95
2024-12-05;12;18;186284,33;2235412,00;24,49%;45620,65;2242;3436;214723,02;481409000,00;47,66%;167155,90;96
2024-12-06;13;16;189159,69;2459076,00;26,53%;50185,22;2255;3452;214575,64;483868076,00;47,44%;166277,69;97
2024-12-07;7;9;168571,43;1180000,00;14,29%;24081,63;2262;3461;214433,28;485048076,00;47,11%;164982,34;98
2024-12-08;16;21;175187,50;2803000,00;32,65%;57204,08;2278;3482;214157,63;487851076,00;46,96%;164259,62;99
2024-12-09;19;29;189224,68;3595269,00;38,78%;73372,84;2297;3511;213951,39;491446345,00;46,88%;163815,45;100
2024-12-10;35;43;223464,83;7821269,00;71,43%;159617,73;2332;3554;214094,17;499267614,00;47,12%;164774,79;101
2024-12-11;45;56;211834,60;9532557,00;91,84%;194541,98;2377;3610;214051,40;508800171,00;47,56%;166274,57;102
2024-12-12;45;55;220767,51;9934538,00;91,84%;202745,67;2422;3665;214176,18;518734709,00;47,99%;167875,31;103
2024-12-13;27;32;216222,22;5838000,00;55,10%;119142,86;2449;3697;214198,74;524572709,00;48,06%;168132,28;104
2024-12-14;14;20;187214,29;2621000,00;28,57%;53489,80;2463;3717;214045,35;527193709,00;47,87%;167363,08;105
2024-12-15;13;17;209846,15;2728000,00;26,53%;55673,47;2476;3734;214023,31;529921709,00;47,67%;166642,05;106
2024-12-16;30;33;337642,30;10129269,00;61,22%;206719,78;2506;3767;215503,18;540050978,00;47,80%;168240,18;107
2024-12-17;30;35;505353,47;15160604,00;61,22%;309400,08;2536;3802;218932,01;555211582,00;47,92%;171361,60;108
2024-12-18;28;31;220214,29;6166000,00;57,14%;125836,73;2564;3833;218946,01;561377582,00;48,01%;171675,10;109
2024-12-19;25;26;193600,00;4840000,00;51,02%;98775,51;2589;3859;218701,27;566217582,00;48,03%;171581,09;110
2024-12-20;25;33;182836,24;4570906,00;51,02%;93283,80;2614;3892;218358,26;570788488,00;48,06%;171407,95;111
2024-12-21;2;4;230853,50;461707,00;4,08%;9422,59;2616;3896;218367,81;571250195,00;47,67%;170014,94;112
2024-12-22;2;4;91800,00;183600,00;4,08%;3746,94;2618;3900;218271,12;571433795,00;47,28%;168564,54;113
2024-12-23;3;5;452484,33;1357453,00;6,12%;27703,12;2621;3905;218539,20;572791248,00;46,92%;167482,82;114
2024-12-24;2;3;146205,50;292411,00;4,08%;5967,57;2623;3908;218484,05;573083659,00;46,55%;166111,21;115
2024-12-25;0;0;#�DIV/0!;0,00;0,00%;0,00;2623;3908;218484,05;573083659,00;46,15%;164679,21;116
2024-12-26;8;17;145221,75;1161774,00;16,33%;23709,67;2631;3925;218261,28;574245433,00;45,89%;163602,69;117
2024-12-27;7;15;163774,29;1146420,00;14,29%;23396,33;2638;3940;218116,70;575391853,00;45,62%;162540,07;118
2024-12-28;10;21;180505,00;1805050,00;20,41%;36837,76;2648;3961;217974,66;577196903,00;45,41%;161679,80;119
2024-12-29;6;13;164908,33;989450,00;12,24%;20192,86;2654;3974;217854,69;578186353,00;45,14%;160607,32;120
